top - 22:18:58 up  2:54,  2 users,  load average: 0.91, 1.66, 2.62
  13321 ubuntu    20   0  162652   1136    496 S   0.0   0.0   0:00.02 gcr-ssh+
  13322 ubuntu    20   0  100216    956    572 S   0.0   0.0   0:00.01 gnome-s+
  13334 ubuntu    20   0  396664   4188   3420 S   0.0   0.1   0:00.14 gvfsd
  13344 ubuntu    20   0  468376   3384   2616 S   0.0   0.1   0:00.02 gvfsd-f+
  13347 ubuntu    20   0  676692   5556   2868 S   0.0   0.1   0:00.37 gnome-s+
  13379 ubuntu    20   0 3826224 172140  28100 S   0.0   2.8   2:24.31 gnome-s+
  13409 ubuntu    20   0  732644  21284   3108 S   0.0   0.3   0:01.08 mutter-+
  13412 ubuntu    20   0  236048   2804   2036 S   0.0   0.0   0:00.47 at-spi2+
  13450 ubuntu    20   0  654796   2992    560 S   0.0   0.0   0:00.13 gnome-s+
  13462 ubuntu    20   0  601444   8856    664 S   0.0   0.1   0:00.60 evoluti+
  13471 ubuntu    20   0 2736816   5292    512 S   0.0   0.1   0:00.14 gjs
  13488 ubuntu    20   0  398592   9992   3636 S   0.0   0.2   0:03.57 ibus-da+
  13491 ubuntu    20   0  392248   1976   1464 S   0.0   0.0   0:00.02 gsd-a11+
  13492 ubuntu    20   0  424212  10044   3172 S   0.0   0.2   0:00.39 gsd-col+
  13500 ubuntu    20   0  440400   2664   1384 S   0.0   0.0   0:00.04 gsd-dat+
  13501 ubuntu    20   0  467596   2772   2004 S   0.0   0.0   0:00.19 gsd-hou+
  13502 ubuntu    20   0  496812   9544   2708 S   0.0   0.2   0:00.31 gsd-key+
  13503 ubuntu    20   0  752856  11800   4264 S   0.0   0.2   0:00.52 gsd-med+
  13504 ubuntu    20   0  534808  10928   3548 S   0.0   0.2   0:00.57 gsd-pow+
  13505 ubuntu    20   0  332296   2836   1428 S   0.0   0.0   0:00.04 gsd-pri+
  13506 ubuntu    20   0  539752   2064   1424 S   0.0   0.0   0:00.03 gsd-rfk+
  13508 ubuntu    20   0  318228   1756   1372 S   0.0   0.0   0:00.02 gsd-scr+
  13512 ubuntu    20   0  551924   3928   2520 S   0.0   0.1   0:00.05 gsd-sha+
  13514 ubuntu    20   0  394548   2364   1468 S   0.0   0.0   0:00.03 gsd-sma+
  13515 ubuntu    20   0  402364   2532   1380 S   0.0   0.0   0:00.04 gsd-sou+
  13516 ubuntu    20   0  423712   9808   2488 S   0.0   0.2   0:00.31 gsd-wac+
  13520 ubuntu    20   0  425420  10440   2912 S   0.0   0.2   0:00.36 gsd-xse+
  13538 ubuntu    20   0  305492   1648    496 S   0.0   0.0   0:00.05 gsd-dis+
  13540 ubuntu    20   0  830380  18688   3392 S   0.0   0.3   0:00.88 evoluti+
  13581 ubuntu    20   0  555392   4120    536 S   0.0   0.1   0:00.21 goa-dae+
  13638 ubuntu    20   0  424904   2524    604 S   0.0   0.0   0:00.03 gsd-pri+
  13662 ubuntu    20   0  319132   1048    536 S   0.0   0.0   0:00.02 ibus-dc+
  13666 ubuntu    20   0  356584  17296   3800 S   0.0   0.3   0:03.86 ibus-ex+
  13667 ubuntu    20   0  471776   4940   3148 S   0.0   0.1   0:00.35 gvfs-ud+
  13677 ubuntu    20   0  275804   9096   2328 S   0.0   0.1   0:00.26 ibus-x11
  13683 ubuntu    20   0  319092   2668   2028 S   0.0   0.0   0:00.05 ibus-po+
  13708 ubuntu    20   0  973248   4004    676 S   0.0   0.1   0:00.15 evoluti+
  13714 ubuntu    20   0  471524   1544    520 S   0.0   0.0   0:00.04 goa-ide+
  13733 ubuntu    20   0  318460   3180   2668 S   0.0   0.1   0:00.03 gvfs-mt+
  13739 ubuntu    20   0  319428   3240   2600 S   0.0   0.1   0:00.05 gvfs-gp+
  13753 ubuntu    20   0  318440   3040   2528 S   0.0   0.0   0:00.03 gvfs-go+
  13766 ubuntu    20   0  834172   4972   1004 S   0.0   0.1   0:00.29 evoluti+
  13767 ubuntu    20   0  398044   3492   2468 S   0.0   0.1   0:00.23 gvfs-af+
  13792 ubuntu    20   0  245008   1896   1384 S   0.0   0.0   0:00.03 gvfsd-m+
  13802 ubuntu    20   0 2933416   8056   2944 S   0.0   0.1   0:00.38 gjs
  13810 ubuntu    39  19  743444  10732   3680 S   0.0   0.2   0:01.55 tracker+
  13867 ubuntu    20   0  245436   3488   2848 S   0.0   0.1   0:00.95 ibus-en+
  13914 root      20   0       0      0      0 I   0.0   0.0   0:25.06 kworker+
  13958 ubuntu    20   0  230236   3496   2984 S   0.0   0.1   0:00.03 dconf-s+
  14067 ubuntu    20   0  544376   5132   3980 S   0.0   0.1   0:00.07 gvfsd-t+
  14096 ubuntu    20   0  562876   7112   4500 S   0.0   0.1   0:00.44 xdg-des+
  14102 ubuntu    20   0 1424436  73684  13920 S   0.0   1.2   0:05.56 xdg-des+
  14163 ubuntu    20   0 3291324  30660  11900 S   0.0   0.5   0:14.03 gjs
  14195 ubuntu    20   0  424200  10284   3756 S   0.0   0.2   0:00.24 xdg-des+
  14986 root      20   0  398712   2028    524 S   0.0   0.0   0:00.17 gdm-ses+
  15001 sysadmin  20   0   21188   5268   2336 S   0.0   0.1   0:00.97 systemd
  15002 sysadmin  20   0   21464   2444    636 S   0.0   0.0   0:00.00 (sd-pam)
  15015 sysadmin   9 -11  122424   4876    524 S   0.0   0.1   0:00.24 pipewire
  15018 sysadmin  20   0  106404   1224    456 S   0.0   0.0   0:00.02 pipewire
  15024 sysadmin   9 -11  414592   6212   1348 S   0.0   0.1   0:00.50 wireplu+
  15025 sysadmin   9 -11  119708   3652    708 S   0.0   0.1   0:00.14 pipewir+
  15027 sysadmin  20   0  325176   1600    576 S   0.0   0.0   0:00.16 gnome-k+
  15028 sysadmin  20   0   10772   2244    512 S   0.0   0.0   0:01.05 dbus-da+
  15073 sysadmin  20   0  545228   1168    528 S   0.0   0.0   0:00.10 xdg-doc+
  15077 sysadmin  20   0  317976    920    536 S   0.0   0.0   0:00.03 xdg-per+
  15084 root      20   0    2704    444    444 S   0.0   0.0   0:00.00 fusermo+
  15125 sysadmin  20   0  244380    820    436 S   0.0   0.0   0:00.01 gdm-x-s+
  15127 sysadmin  20   0  335732  38948   8648 S   0.0   0.6   0:27.24 Xorg
  15220 ubuntu    20   0  502496  11544   4120 S   0.0   0.2   0:00.70 update-+
  15248 sysadmin  20   0  306904   2460    540 S   0.0   0.0   0:00.06 gnome-s+
  15331 sysadmin  20   0   39136   1636    228 S   0.0   0.0   0:00.10 snapd-d+
  15455 sysadmin  20   0  560996  22324   1200 S   0.0   0.4   0:00.41 snapd-d+
  15459 sysadmin  20   0  382992   1236    596 S   0.0   0.0   0:00.02 at-spi-+
  15466 sysadmin  20   0    9612   1072    560 S   0.0   0.0   0:00.07 dbus-da+
  15479 sysadmin  20   0  162652   1080    440 S   0.0   0.0   0:00.01 gcr-ssh+
  15480 sysadmin  20   0  100216    864    480 S   0.0   0.0   0:00.01 gnome-s+
  15503 sysadmin  20   0  322936   1304    536 S   0.0   0.0   0:00.06 gvfsd
  15510 sysadmin  20   0  543140   1328    560 S   0.0   0.0   0:00.00 gvfsd-f+
  15533 sysadmin  20   0  676692   5460   2772 S   0.0   0.1   0:00.34 gnome-s+
  15559 sysadmin  20   0 3800516 147908   2776 S   0.0   2.4   0:46.34 gnome-s+
  15587 sysadmin  20   0  818252  20884    732 S   0.0   0.3   0:00.84 mutter-+
  15590 sysadmin  20   0  236048   1308    540 S   0.0   0.0   0:00.13 at-spi2+
  15611 sysadmin  20   0  654828   3168    608 S   0.0   0.1   0:00.08 gnome-s+
  15622 sysadmin  20   0  601512   9096    776 S   0.0   0.1   0:00.17 evoluti+
  15630 sysadmin  20   0  230232   1004    492 S   0.0   0.0   0:00.02 dconf-s+
  15642 sysadmin  20   0 2736876   5236    448 S   0.0   0.1   0:00.10 gjs
  15658 sysadmin  20   0  398588   7088    648 S   0.0   0.1   0:02.18 ibus-da+
  15661 sysadmin  20   0  392244   1036    524 S   0.0   0.0   0:00.02 gsd-a11+
  15663 sysadmin  20   0  424208   8700   1864 S   0.0   0.1   0:00.41 gsd-col+
  15664 sysadmin  20   0  555388   4140    556 S   0.0   0.1   0:00.10 goa-dae+
  15665 sysadmin  20   0  440392   1976    696 S   0.0   0.0   0:00.06 gsd-dat+
  15666 sysadmin  20   0  467600   2716   1948 S   0.0   0.0   0:00.47 gsd-hou+
